iter	Passed	Remaining
1515	57305	18295
1516	57342	18257
1517	57378	18219
1518	57415	18181
1519	57453	18143
1520	57492	18105
1521	57530	18067
1522	57566	18029
1523	57603	17991
1524	57640	17953
1525	57677	17915
1526	57716	17877
1527	57753	17840
1528	57792	17802
1529	57830	17764
1530	57870	17727
1531	57907	17689
1532	57946	17652
1533	57984	17614
1534	58022	17576
1535	58060	17539
1536	58098	17501
1537	58136	17463
1538	58174	17425
1539	58214	17388
1540	58256	17352
1541	58295	17314
1542	58333	17276
1543	58373	17239
1544	58413	17202
1545	58450	17164
1546	58487	17126
1547	58526	17089
1548	58564	17051
1549	58600	17013
1550	58638	16975
1551	58675	16937
1552	58712	16899
1553	58749	16861
1554	58787	16823
1555	58825	16785
1556	58862	16747
1557	58899	16709
1558	58936	16671
1559	58978	16634
1560	59018	16597
1561	59055	16559
1562	59094	16522
1563	59131	16484
1564	59170	16446
1565	59207	16408
1566	59244	16370
1567	59282	16332
1568	59320	16295
1569	59357	16257
1570	59395	16219
1571	59433	16181
1572	59471	16143
1573	59510	16106
1574	59547	16068
1575	59584	16030
1576	59621	15992
1577	59659	15954
1578	59695	15916
1579	59736	15879
1580	59773	15841
1581	59810	15803
1582	59847	15765
1583	59883	15727
1584	59922	15689
1585	59964	15652
1586	60006	15616
1587	60045	15578
1588	60089	15542
1589	60126	15504
1590	60164	15466
1591	60200	15428
1592	60237	15390
1593	60276	15352
1594	60315	15315
1595	60352	15277
1596	60391	15239
1597	60428	15201
1598	60464	15163
1599	60503	15125
1600	60540	15087
1601	60577	15049
1602	60615	15012
1603	60652	14974
1604	60690	14936
1605	60727	14898
1606	60766	14860
1607	60805	14823
1608	60843	14785
1609	60880	14747
1610	60918	14709
1611	60955	14671
1612	60992	14633
1613	61030	14595
1614	61070	14558
1615	61106	14520
1616	61143	14482
1617	61180	14444
1618	61217	14406
1619	61254	14368
1620	61293	14330
1621	61331	14293
1622	61368	14254
1623	61405	14216
1624	61441	14178
1625	61478	14140
1626	61517	14103
1627	61555	14065
1628	61592	14027
1629	61629	13989
1630	61670	13952
1631	61707	13914
1632	61746	13876
1633	61784	13839
1634	61820	13801
1635	61859	13763
1636	61896	13725
1637	61936	13688
1638	61973	13650
1639	62013	13612
1640	62049	13574
1641	62088	13536
1642	62125	13498
1643	62166	13461
1644	62203	13423
1645	62241	13386
1646	62278	13348
1647	62316	13310
1648	62355	13272
1649	62395	13235
1650	62432	13197
1651	62468	13159
1652	62505	13121
1653	62548	13084
1654	62586	13046
1655	62638	13011
1656	62679	12974
1657	62716	12936
1658	62753	12898
